iso,name,family,C_H,WALS_NumChap,C_WALS,C_TTR,C_D,C_A
arn,Mapudungun,Araucanian,-0.8335906624,26,0.5031135531,0.0859583749,0.30223334,-0.0990564016
arz,Egyptian Arabic,Afro-Asiatic,2.7819354533,28,0.5629676871,0.1711113517,0.45928657,0.0750384763
auc,Waorani,Waorani,-0.2292845777,7,0.8095238095,0.0385707901,0.24052322,-0.1768671251
ava,Avar,Nakh-Daghestanian,1.7901189828,7,0.8571428571,0.1363656827,0.43397021,-0.1025691044
avt,Au,Nuclear_Torricelli,-0.7068081992,8,0.25,0.0287319612,0.20809257,-0.2726802071
avu,Avokaya,Central_Sudanic,-1.2274469472,6,0.625,0.0105450858,0.066551924,-0.2114646229
awb,Awa (Papua New Guinea),Nuclear_Trans_New_Guinea,1.1113000425,7,0.8571428571,0.1031043378,0.33762455,-0.1451857139
awi,Aekyom,Awin-Pa,-0.5835620519,2,1,0.0458270704,0.25095236,-0.1846136682
ayo,Ayoreo,Zamucoan,-0.3818241703,3,1,0.0502405111,0.28385735,-0.1544799012
azb,South Azerbaijani,Turkic,2.1507758707,9.5,0.8638888889,0.0940264391,0.41738057,-0.0104673505
bak,Bashkir,Turkic,1.6271854224,12,0.6666666667,0.1379442627,0.42975485,-0.0482551085
bam,Bambara,Mande,-0.9639456401,13,0.4647435897,0.018953037,0.13869679,-0.2489015428
ban,Balinese,Austronesian,0.1967069178,4,0.5,0.0455511371,0.17330575,-0.3849550499
bav,Vengo,Atlantic-Congo,-1.0948830724,11,0.3939393939,0.0127248104,0.10258484,-0.4146105065
bbb,Nuclear Barai,Koiarian,-0.5717797254,9,0.6944444444,0.0314404969,0.22421944,-0.1507102379
bbc,Batak Toba,Austronesian,-0.5906804398,9,0.2222222222,0.0530444958,0.20271111,-0.0911357557
bcl,Central Bicolano,Austronesian,-0.9973077787,6,0.3333333333,0.0457456491,0.20794034,-0.1399474376
bef,Benabena,Nuclear_Trans_New_Guinea,0.5587482038,1,0,0.0620300512,0.34419453,-0.1277265745
ben,Bengali,Indo-European,0.7781412404,5,0.5,0.0460401701,0.27797408,-0.1503819863
bex,Jur Modo,Central_Sudanic,-1.0654174609,9,0.1111111111,0.0122030327,0.11338174,-0.3868891875
bgr,Bawm Chin,Sino-Tibetan,-1.1108517211,20,0.2308333333,0.019824182,0.10958362,-0.2373090782
bib,Bissa,Mande,-1.5491760892,1,1,0.0123904964,0.10853255,-0.3139102423
bim,Bimoba,Atlantic-Congo,-0.8867014681,6,0.3333333333,0.0315356787,0.16487753,-0.1844127333
bis,Bislama,Indo-European,-1.8793759631,1,1,0.0057168251,0.045970798,-0.4438415091
blw,Balangao,Austronesian,-0.6454481012,2,1,0.0631043173,0.2036916,-0.1867546288
bmr,Muinane,Boran,1.5721605014,7,1,0.178288535,0.49515247,0.0256485166
bmu,Burum-Mindik,Nuclear_Trans_New_Guinea,0.9154958091,4,1,0.0608733339,0.28596878,-0.2714734192
boa,Bora,Boran,1.3490481041,1,1,0.1551355369,0.45744801,-0.0172664036
bqp,Busa,Mande,-0.217963205,3,0.3333333333,0.0567141341,0.23776758,-0.1114107795
bre,Breton,Indo-European,-0.1894701859,11,0.6363636364,0.0612882676,0.17503059,-0.1714738842
bsn,Barasana-Eduria,Tucanoan,0.0563159939,26,0.5748168498,0.0770806081,0.27757621,-0.1333483401
btx,Batak Karo,Austronesian,-0.3493760575,20,0.4870833333,0.0410830126,0.16463208,-0.1700820704
bud,Ntcham,Atlantic-Congo,-0.1604761068,3,1,0.0539919437,0.24538541,-0.1526004669
bul,Bulgarian,Indo-European,0.2868740772,16,0.4765625,0.055943494,0.2460581375,-0.0106486552
bum,Bulu (Cameroon),Atlantic-Congo,-0.4143846777,2,0.5,0.0163951857,0.18711734,-0.2684583308
bvr,Burarra,Maningrida,-0.2288304536,6,0.8333333333,0.0356446707,0.20592642,-0.351793702
bvz,Bauzi,Geelvink_Bay,-0.5417294597,4,0.5625,0.0174773554,0.10014671,-0.1695943308
byr,Baruya,Angan,1.030515169,5,1,0.3163745718,0.56069708,-0.0945857795
byx,Qaqet,Baining,-1.3056544162,3,0.75,0.0095633802,0.10351753,-0.446593062
bzd,Bribri,Chibchan,-0.6729588023,10,0.4916666667,0.0407926148,0.17517269,-0.2513981876
caa,ChortÃƒÂ­,Mayan,-1.0716475232,1,1,0.0197729078,0.1206727,-0.3465921021
cab,Garifuna,Arawakan,0.3374102513,9,0.6944444444,0.0908148645,0.28565526,-0.0842102475
cao,ChÃƒÂ¡cobo,Panoan,-0.5825581008,13,0.6153846154,0.0550843441,0.30999303,-0.0515142386
cap,Chipaya,Uru-Chipaya,0.7425979756,6,0.6666666667,0.1104952377,0.409097195,-0.0659070356
car,Galibi Carib,Cariban,0.0307923225,17,0.6024509804,0.0695542226,0.23080957,-0.1453693681
cas,MosetÃƒÂ©n-ChimanÃƒÂ©,Moseten-Chimane,-0.4521813777,7,0.7476190476,0.0550588257,0.24345779,-0.1803533169
cat,Standard Catalan,Indo-European,-0.0614479479,8,0.234375,0.0750167944,0.226540805,-0.0780635272
cav,CavineÃƒÂ±a,Tacanan,0.1069430935,3,0.8888888889,0.0517437437,0.3081156,-0.1038488402
cax,Chiquitano,Chiquitano,0.2020012131,4,1,0.0594059877,0.252795815,-0.1278382554
cbc,Carapana,Tucanoan,0.1852839082,7,1,0.0767210265,0.23623395,-0.2032709324
cbi,Chachi,Barbacoan,1.0887193262,7,0.7142857143,0.1029283772,0.38568091,-0.1652265853
cbk,Chavacano,Indo-European,-1.1667056974,1,1,0.0127365811,0.089296103,-0.4513404118
cbr,Cashibo-Cacataibo,Panoan,-0.3154871777,8,0.625,0.0523685576,0.26004279,-0.1904384337
cbs,Cashinahua,Panoan,0.0768995117,2,0.25,0.1078520295,0.52910936,-0.02888279
cbt,Chayahuita,Cahuapanan,0.5778469234,1,0.5,0.1139771171,0.45671785,0.0224309221
cbu,Candoshi-Shapra,Candoshi-Shapra,1.2553406855,3,0.6666666667,0.1326151412,0.5234921,0.0341996343
cco,Comaltepec Chinantec,Otomanguean,-0.7418115852,11,0.5,0.0376192531,0.13512981,-0.4037460076
ceb,Cebuano,Austronesian,-0.7500804879,9,0.4722222222,0.0309970115,0.193169235,-0.2249061073
ces,Czech,Indo-European,1.2599367132,11,0.6363636364,0.0952606984,0.2964241,-0.0137566891
cha,Chamorro,Austronesian,-0.5145912819,23,0.375931677,0.0760827849,0.2643342433,-0.1660963433
chd,Highland Oaxaca Chontal,Tequistlatecan,0.8650899755,1,0.25,0.1092832949,0.30124521,-0.1001985784
che,Chechen,Nakh-Daghestanian,1.208935506,12,0.5416666667,0.0577409515,0.40249753,-0.1510900764
chf,Tabasco Chontal,Mayan,-0.8221656323,10,0.5,0.0298045402,0.1751287,-0.3015624768
chk,Chuukese,Austronesian,-0.7930744926,4,0.5625,0.0174233818,0.12658918,-0.2583133527
chq,Quiotepec Chinantec,Otomanguean,-0.352356659,6,0.5,0.0666578235,0.2353847,-0.1617838048
chr,Cherokee,Iroquoian,1.4162633368,8,0.75,0.2203273572,0.47944522,0.0361327454
chv,Chuvash,Turkic,1.4196379824,17,0.6931372549,0.1235236671,0.37335539,-0.066576922
cko,Anufo,Atlantic-Congo,-1.493941413,9,0.25,0.0104465466,0.099884748,-0.361426561
cle,Lealao Chinantec,Otomanguean,-0.5195085769,21,0.4337301587,0.0387318756,0.16940296,-0.2558976101
cme,Cerma,Atlantic-Congo,-0.2605947194,5,0.2,0.0426503753,0.23632479,-0.1244385294
cnh,Haka Chin,Sino-Tibetan,-0.6046759312,14,0.068877551,0.0126012331,0.14583576,-0.2372288368
cnt,Tepetotutla Chinantec,Otomanguean,0.1255223646,1,0.5,0.0653538977,0.2620424,-0.2585944582
coe,Koreguaje,Tucanoan,0.749108078,2,1,0.08468952,0.33695805,-0.0839984609
cof,Tsafiki,Barbacoan,0.5657844227,5,0.95,0.0806359123,0.41925085,-0.0693616474
cop,Coptic,Afro-Asiatic,1.2657876744,10,0.4666666667,0.1797901251,0.36056753,0.392576629
cpa,Palantla Chinantec,Otomanguean,-0.3555421517,10,0.575,0.0600980785,0.23280561,-0.1525999477
cpc,AjyÃƒÂ­ninka Apurucayali,Arawakan,1.7028698903,15,0.6433333333,0.2292482147,0.61996555,0.1018367871
crn,El Nayar Cora,Uto-Aztecan,-0.5870021777,6,0.6666666667,0.0413425664,0.202269495,-0.4007182528
crt,Iyojwa'ja Chorote,Matacoan,-0.0911875444,1,0,0.0778405781,0.33163023,-0.1453275772
csy,Siyin Chin,Sino-Tibetan,-0.6715878866,9,0.1111111111,0.0165868797,0.19075692,-0.2516467112
ctd,Tedim Chin,Sino-Tibetan,-0.2569628084,8,0.25,0.0233745418,0.1694082,-0.2265759879
ctp,Western Highland Chatino,Otomanguean,-1.6803110087,6,0.1666666667,0.0064827316,0.087238193,-0.2596028379
cub,Cubeo,Tucanoan,0.6136697477,7,0.8095238095,0.0744166108,0.25393093,-0.1876778147
cui,Cuiba,Guahiboan,0.0796603874,2,1,0.0481477549,0.19894445,-0.2295128392
cym,Welsh,Indo-European,0.1613423693,7.5,0.1711309524,0.0387485837,0.1940412533,-0.1213951468
dan,Danish,Indo-European,-0.0843752444,14,0.3928571429,0.0430436084,0.183853955,-0.0974059129
des,Desano,Tucanoan,0.2294870266,9,0.7222222222,0.0681939621,0.36682498,-0.0803644926
deu,Standard German,Indo-European,0.3109058999,27,0.3970017637,0.0469909807,0.2265388146,-0.1475790225
dgz,Daga,Dagan,-0.0432375498,22,0.6286796537,0.0363743307,0.23343801,-0.2417746349
dip,Northeastern Dinka,Nilotic,-0.5004313417,7,0.4285714286,0.030377575,0.14306641,-0.201057906
dje,Zarma,Songhay,-0.9285579255,3,0.3333333333,0.0208628836,0.16043723,-0.2614058881
djk,Ndyuka,Indo-European,-1.5003142773,22,0.1132575758,0.0061137537,0.083398581,-0.356268765
dow,Doyayo,Atlantic-Congo,-0.5833866392,10,0.6833333333,0.0453280613,0.22364163,-0.1845732689
dyo,Jola-Fonyi,Atlantic-Congo,0.5573211629,23,0.5887681159,0.1127431067,0.29452622,-0.1104069701
efi,Efik,Atlantic-Congo,-0.0724178554,3,0.6666666667,0.0206650989,0.20638895,-0.2110982551
ell,Modern Greek (1453-),Indo-European,0.294546824,28,0.4519132653,0.0817542792,0.2227169738,-0.0526130095
emp,Northern EmberÃƒÂ¡,Chocoan,0.5709401304,8,1,0.063193911,0.34434652,-0.1339891199
eng,Standard English,Indo-European,-0.5333855532,28,0.3292517007,0.0304979321,0.1218040545,-0.1755886282
ese,Ese Ejja,Tacanan,-0.5170368327,8,0.125,0.0246410468,0.2159375,-0.1445565199
est,Estonian,Uralic,1.0470819164,13,0.6153846154,0.0913589885,0.2801199733,-0.0311732641
eus,Basque,Basque,1.2205309628,28,0.6474489796,0.1248086997,0.37333461,-0.0237138843
ewe,Ewe,Atlantic-Congo,-0.0842229881,24,0.3850694444,0.0444921045,0.26640761,-0.2005073674
faa,Fasu,Fasu,0.3113798199,4,1,0.0446875736,0.29362667,-0.1344195335
fao,Faroese,Indo-European,0.419496431,3,0.3333333333,0.0457300726,0.17229581,-0.1525528565
fij,Fijian,Austronesian,-1.4376304632,25,0.2791904762,0.0138569782,0.1501120925,-0.4761310195
fin,Finnish,Uralic,1.5617884587,26,0.477014652,0.0911928952,0.301400035,0.0021665478
fon,Fon,Atlantic-Congo,-1.089056387,5,0.2,0.0070587313,0.083259821,-0.3849851051
for,Fore,Nuclear_Trans_New_Guinea,1.2210252316,5,0.8,0.1234325947,0.42271543,-0.062003671
fra,Standard French,Indo-European,0.1733989712,26,0.4341117216,0.0433175581,0.2129627735,-0.1267343527
fry,Western Frisian,Indo-European,-0.1123932576,1,0.125,0.026177384,0.18910348,-0.1423055531
fub,Adamawa Fulfulde,Atlantic-Congo,0.1037942601,16,0.7890625,0.0617157754,0.19103467,-0.0554604969
fuf,Pular,Atlantic-Congo,-0.0460563005,1,1,0.0768577666,0.20465207,-0.177235573
gaa,Ga,Atlantic-Congo,-0.5884409896,6,0.5,0.0496910884,0.22290707,-0.1696056403
gag,Gagauz,Turkic,1.1610716825,1,1,0.1319435366,0.385728835,0.0155700606
gah,Alekano,Nuclear_Trans_New_Guinea,0.6993290854,10,1,0.0692970372,0.30325925,-0.1782101031
gbi,Galela,North_Halmahera,-0.8587492365,1,0.25,0.0389801628,0.18681014,-0.2765079794
gde,Gude,Afro-Asiatic,-0.5165185582,10,0.5333333333,0.0324383602,0.19442034,-0.2964026053
geb,Kire,Lower_Sepik-Ramu,-0.704971929,1,1,0.0200791047,0.15065265,-0.3435358946
ghs,Guhu-Samane,Nuclear_Trans_New_Guinea,0.3851687799,4,0.75,0.0586171115,0.40782464,0.0247475727
gil,Gilbertese,Austronesian,-1.0927847284,19,0.4583333333,0.0260786958,0.1671257,-0.3305263005
giz,South Giziga,Afro-Asiatic,-0.3358327722,2,0.5,0.0178193158,0.17350054,-0.2954661347
gkn,Gokana,Atlantic-Congo,-0.8760370157,9,0.2222222222,0.0249056519,0.092921257,-0.4550409439
gle,Irish,Indo-European,0.247706604,21,0.3849206349,0.034398115,0.18951833,-0.196019735
glv,Manx,Indo-European,-0.5117426678,1,0.5,0.0483182919,0.16176498,-0.2348437684
gnn,Gumatj,Pama-Nyungan,0.2863876455,1,1,0.0523823014,0.37832284,-0.1219626567
grt,Garo,Sino-Tibetan,1.000964287,23,0.6519151139,0.0978613229,0.41718185,-0.0432463164
guc,Wayuu,Arawakan,0.1067515414,6,0.8333333333,0.0821220551,0.21309793,-0.1615916309
gug,Paraguayan GuaranÃƒÂ­,Tupian,0.6826843556,23,0.4711697723,0.0985291525,0.301564155,-0.053109999
gui,Eastern Bolivian GuaranÃƒÂ­,Tupian,-0.898903458,1,0.75,0.0270560348,0.11376464,-0.1655053287
guj,Gujarati,Indo-European,1.0962316699,7,0.5714285714,0.0620014927,0.3734529,-0.1677962966
guk,Gumuz,Gumuz,1.2176606083,8,0.78125,0.1317502785,0.35701036,-0.0725021438
guz,Gusii,Atlantic-Congo,1.6579787885,1,1,0.1671662784,0.50742209,0.017018419
gvf,Golin,Nuclear_Trans_New_Guinea,-0.8500945246,9,0.5555555556,0.0157211569,0.17982733,-0.2707454837
gvn,Kuku-Yalanji,Pama-Nyungan,0.2248704449,11,0.5606060606,0.0517554062,0.28127801,-0.0116470695
gya,Northwest Gbaya,Atlantic-Congo,-0.4679704213,8,0.53125,0.018704203,0.14081979,-0.2954193725
gym,NgÃƒÂ¤bere,Chibchan,-0.5384764408,8,0.6354166667,0.0169830611,0.15138078,-0.3145911056
hae,Eastern Oromo,Afro-Asiatic,1.0571878526,27,0.4865961199,0.0983556265,0.37623298,-0.0973756597
hak,Hakka Chinese,Sino-Tibetan,-0.2069549568,1,1,0.0441833526,0.1855464,-0.0707984698
hau,Hausa,Afro-Asiatic,-0.4308320301,28,0.3218962585,0.0387619176,0.19833386,-0.1607918762
haw,Hawaiian,Austronesian,-2.0042786234,18,0.2055555556,0.0139657829,0.1202749,-0.4462601849
hay,Haya,Atlantic-Congo,1.9472001284,5,0.9,0.2122921352,0.51132762,-0.0036353659
hch,Huichol,Uto-Aztecan,1.7113484,8,1,0.2227972615,0.38372457,0.0078565431
heb,Hebrew,Afro-Asiatic,1.7747184536,27,0.5291446208,0.1723419003,0.36965996,0.0001326667
heh,Hehe,Atlantic-Congo,1.3527458176,2,1,0.163903761,0.50609827,-0.0446926333
hil,Hiligaynon,Austronesian,-1.1449300204,3,0.3333333333,0.0380679794,0.182438375,-0.1510156646
hin,Hindi,Indo-European,0.1047203745,25,0.5307619048,0.0269761703,0.20246312,-0.2235765334
hla,Halia,Austronesian,-1.0409876736,9,0.4722222222,0.020854865,0.15765679,-0.4451824513
hop,Hopi,Uto-Aztecan,0.4103285971,7,0.8571428571,0.1130654872,0.37826192,-0.0482410971
hrv,Croatian,Indo-European,1.0740831054,15,0.4416666667,0.0815400867,0.2992657833,0.0224323527
hto,Minica Huitoto,Huitotoan,0.7390713804,8,0.3916666667,0.1040524592,0.39025724,-0.0304836668
hun,Hungarian,Uralic,1.0938388986,28,0.5581632653,0.1236534409,0.3408204317,0.0430101734
huu,Murui Huitoto,Huitotoan,0.1003423339,6,0.8333333333,0.0643678021,0.33948934,0.0240343708
huv,San Mateo del Mar Huave,Huavean,-0.2645694065,12,0.5044642857,0.0368584696,0.21080613,-0.2508857378
hvn,Sabu,Austronesian,-1.4267256285,4,0.5083333333,0.0186153908,0.12392724,-0.455983019
hwc,Hawai'i Creole English,Indo-European,-1.3119727062,3,0.5,0.0099265821,0.060490847,-0.3588295846
hye,Modern Armenian,Indo-European,0.9861205328,19,0.6832188645,0.106642203,0.298979105,-0.0487079926
ian,Iatmul,Ndu,-0.425209387,1,1,0.0400873144,0.25936592,-0.0776327241
iba,Iban,Austronesian,-0.7998327301,10,0,0.0198581402,0.099465251,-0.263682946
ibo,Nuclear Igbo,Atlantic-Congo,-0.4015282662,17,0.3671568627,0.0375206473,0.201161385,-0.2151470692
ifb,Batad Ifugao,Austronesian,-1.6035378262,4,0.75,0.0711319472,0.26728821,-0.1600886991
ign,Ignaciano,Arawakan,0.5351123268,6,0.6666666667,0.1720611575,0.585120495,0.0090348852
ilo,Iloko,Austronesian,-0.4290703393,2,0.5625,0.063380862,0.2648126175,0.0088601156
ind,Indonesian,Austronesian,0.143340665,28,0.3364370748,0.0394437234,0.1937828363,-0.1815383874
irk,Iraqw,Afro-Asiatic,0.4565449763,20,0.4991666667,0.0737943219,0.2379204,-0.1672420278
isl,Icelandic,Indo-European,0.5622112511,19,0.4394736842,0.0841752581,0.21784103,-0.0597509366
ita,Italian,Indo-European,0.3560473857,17,0.3848039216,0.049561506,0.2517639071,-0.0736281226
ium,Iu Mien,Hmong-Mien,-1.0889808827,7,0,0.0099579106,0.0721569658,-0.4433968091
jac,Popti',Mayan,-0.3053392177,26,0.4603937729,0.05386042,0.16269839,-0.2950213789
jae,Yabem,Austronesian,-0.411165155,9,0.6388888889,0.0338559589,0.1943152,-0.2095734783
jav,Javanese,Austronesian,0.5064820502,3,0.0833333333,0.0464750934,0.1822164833,-0.1394817265
jbu,Jukun Takum,Atlantic-Congo,-0.82304283,8,0.125,0.0195259076,0.17486835,-0.3756219957
jic,Tol,Jicaquean,-1.0032501005,2,0.6,0.0131625631,0.1135304,-0.1572857063
jiv,Shuar,Jivaroan,1.3282225446,8,0.8125,0.1758831173,0.51526749,0.0789565696
kaa,Kara-Kalpak,Turkic,1.5608061112,7,0.8571428571,0.1305521399,0.38789145,-0.0729920846
kab,Kabyle,Afro-Asiatic,0.4892035011,1,0.5,0.1085564779,0.32870293,-0.0629727652
kac,Kachin,Sino-Tibetan,-1.1317621437,10,0,0.0062994989,0.0961261985,-0.5150165429
kal,Kalaallisut,Eskimo-Aleut,2.4735350902,14,0.8472883598,0.436823163,0.7724421,0.2058490138
kan,Modern Kannada,Dravidian,2.1638759774,26,0.6366300366,0.2317355847,0.6525448167,0.0499853901
kao,Xaasongaxango,Mande,-0.9331163692,5,0.2,0.0272791588,0.17274094,-0.2286873516
kat,Modern Georgian,Kartvelian,0.830504258,25,0.6065714286,0.1532437899,0.361240805,0.03585902
kaz,Kazakh,Turkic,1.9829328951,1,0,0.1346436997,0.47714847,-0.0230424906
kbc,KadiwÃƒÂ©u,Guaicuruan,0.3652229285,5,0.85,0.0803078648,0.31801879,-0.0976399652
kbh,CamsÃƒÂ¡,Kamsa,0.4996072883,5,1,0.1013823692,0.33590066,-0.1110104175
kbp,KabiyÃƒÂ©,Atlantic-Congo,0.0773557119,2,0.5,0.0774595543,0.23491669,-0.1456562973
kde,Makonde,Atlantic-Congo,0.4877896654,2,1,0.1625969682,0.44977784,-0.0535738892
kdj,Karamojong,Nilotic,0.0925120789,9,0.5555555556,0.0793069611,0.25884676,-0.0792720543
ken,Kenyang,Atlantic-Congo,0.2565045256,1,1,0.0471271853,0.24280941,-0.2366389002
kff,Koya,Dravidian,1.3973832614,6,1,0.1376269873,0.43959558,-0.0204085634
kgp,Kaingang,Nuclear-Macro-Je,-1.8745162199,3,0.3333333333,0.0066243834,0.05903852,-0.1624356659
khk,Halh Mongolian,Mongolic,1.8290937947,27,0.5164462081,0.1153743537,0.37407267,-0.1111392818
kik,Kikuyu,Atlantic-Congo,0.7304257597,11,0.7045454545,0.0989392721,0.34735018,-0.121043653
kin,Kinyarwanda,Atlantic-Congo,1.6769149152,6,0.6875,0.1612065519,0.461849955,-0.0996110443
kir,Kirghiz,Turkic,1.5336292103,8,0.775,0.0846629762,0.37813028,-0.0344883652
kjh,Khakas,Turkic,1.1431766245,3,0.4,0.1396498064,0.47321129,0.0091443501
kjs,East Kewa,Nuclear_Trans_New_Guinea,0.0100336937,25,0.5641904762,0.0500443242,0.32921374,-0.1660259291
kki,Kagulu,Atlantic-Congo,1.3553791524,4,1,0.16307631,0.50561333,0.0049140521
kma,Konni,Atlantic-Congo,-1.1486892274,7,0.7142857143,0.0185227065,0.15134048,-0.2957451632
kmh,Kalam (Papua New Guinea),Nuclear_Trans_New_Guinea,-0.9191494529,2,0.5,0.0163737568,0.159128965,-0.0623782626
kmo,Kwoma,Sepik,-0.3614605486,9,0.5555555556,0.0381808819,0.25950754,-0.2451368022
kmr,Northern Kurdish,Indo-European,-0.2168013991,9,0.7730769231,0.0470615112,0.18949449,-0.1500569994
kms,Kamasau,Nuclear_Torricelli,-1.2497542426,7,0.2857142857,0.0094705275,0.099727988,-0.3511015465
kng,Koongo,Atlantic-Congo,-0.4561089446,16,0.5494791667,0.0804887653,0.31863916,-0.1697527914
knj,Western Kanjobal,Mayan,-1.073176883,1,1,0.0150994185,0.088830471,-0.4409491318
kor,Korean,Korean,2.0379124267,25,0.4595238095,0.1474437482,0.4403245833,0.0664311955
kpj,KarajÃƒÂ¡,Nuclear-Macro-Je,1.0114035895,3,1,0.1605305105,0.54722595,0.1252308076
kpv,Komi-Zyrian,Uralic,1.2878229432,3,0.4166666667,0.1157902604,0.34832609,0.0074004747
kpw,Kobon,Nuclear_Trans_New_Guinea,-0.9476362523,22,0.4958333333,0.0132482214,0.11779904,-0.2560156345
kpx,Mountain Koiali,Koiarian,-0.015419267,7,1,0.0454905511,0.26739097,-0.1400580815
kpz,Kupsabiny,Nilotic,0.3183874113,3,1,0.0798701884,0.26083314,-0.1826654709
krc,Karachay-Balkar,Turkic,1.1431299819,9,0.7777777778,0.1248909556,0.39357126,-0.0364779515
ksd,Kuanua,Austronesian,-1.4757820267,11,0.1515151515,0.013068734,0.10485137,-0.3845555825
ksf,Bafia,Atlantic-Congo,-0.4500349994,2,0.5,0.0432130917,0.20882273,-0.3302480243
kss,Southern Kisi,Atlantic-Congo,-0.3661101887,13,0.4578754579,0.0257524758,0.14365005,-0.4031416907
kto,Kuot,Kuot,-0.6830086264,8,0.5,0.0266326287,0.16000688,-0.366024254
kue,Kuman,Nuclear_Trans_New_Guinea,-0.3937508386,5,0.8,0.0280002224,0.25495601,-0.2487462148
kum,Kumyk,Turkic,1.3703294453,1,1,0.1114245495,0.37608862,-0.0903378734
kup,Kunimaipa,Goilalan,0.3586682284,8,0.875,0.0462528631,0.29376781,-0.1534351534
kvn,Border Kuna,Chibchan,1.0198784156,1,1,0.1953244056,0.55598414,0.0363145229
kwd,Kwaio,Austronesian,-1.2902015892,7,0.2738095238,0.0121389878,0.11157298,-0.4557022873
kwi,Awa-Cuaiquer,Barbacoan,1.1340139626,25,0.6099047619,0.0889290326,0.42420483,-0.0052657754
kyc,Kyaka,Nuclear_Trans_New_Guinea,-0.0420187085,8,0.5,0.0439496144,0.25581288,-0.1851609064
kyq,Kenga,Central_Sudanic,-0.6709093694,6,0.6666666667,0.0303681352,0.15576231,-0.3442090658
kyz,KayabÃƒÂ­,Tupian,-0.6697516988,4,0.75,0.0410471023,0.16312039,-0.094708009
lac,Lacandon,Mayan,-1.0319418844,5,0.6,0.0271991289,0.13295817,-0.2434948605
